cap_ave numeric,remove,ooo,money,free,our,char_$,char_!,class
4.924,1,1,1,1,2,1,1,spam
2.75,2,1,1,2,1,1,3,spam
295,1,1,1,1,2,1,3,spam
589,1,1,1,1,2,1,3,spam
3.168,1,1,1,1,2,1,1,spam
1.69,2,1,2,1,2,1,3,spam
3.168,1,1,1,1,2,1,1,spam
12.176,2,1,1,2,1,1,3,spam
10.692,2,1,1,2,2,1,1,spam
2.673,1,1,1,2,2,1,3,spam
1.676,2,1,1,2,1,1,1,spam
2.095,2,2,1,2,1,2,2,spam
4.818,1,1,2,1,1,2,1,spam
3.922,1,1,1,1,1,1,2,spam
2.315,1,1,1,1,2,2,2,spam
2.315,1,1,1,1,2,2,2,spam
2.353,1,1,1,2,1,1,2,spam
2.333,2,1,1,1,2,1,1,spam
4.33,1,2,2,1,1,2,3,spam
4.022,1,1,1,2,2,1,3,spam
3.184,2,1,2,1,2,1,2,spam
4.022,1,1,1,2,2,1,3,spam
2.15,2,2,1,2,1,2,2,spam
2.15,2,2,1,2,1,2,2,spam
5.216,1,1,2,2,2,2,2,spam
2.934,1,1,2,2,1,2,3,spam
9.052,2,2,1,1,2,2,3,spam
2.511,2,2,1,2,2,2,3,spam
2.592,2,1,1,2,1,2,1,spam
2.548,1,1,2,1,1,2,2,spam
4.818,1,1,2,1,1,2,1,spam
7,1,1,1,1,1,1,3,spam
4.281,2,2,1,2,1,2,3,spam
9.266,2,1,1,2,1,1,2,spam
4.6,2,1,2,2,2,1,2,spam
3.322,1,2,1,2,2,2,2,spam
3.096,1,1,1,2,1,1,2,spam
13.5,1,1,1,1,2,1,2,spam
1.477,1,1,1,2,1,1,2,spam
15.892,2,1,1,2,2,1,2,spam
7.181,1,1,1,2,1,1,2,spam
69.727,1,1,1,2,2,2,3,spam
64.416,1,1,1,2,2,2,3,spam
64.416,1,1,1,2,2,2,3,spam
6.404,2,1,2,2,2,2,3,spam
5.96,1,1,1,1,2,2,3,spam
4.818,1,1,2,1,1,2,1,spam
1.932,1,1,2,2,1,2,2,spam
18.4,1,1,1,2,1,2,3,spam
6.294,1,1,2,2,1,2,3,spam
6.055,1,1,2,2,1,2,3,spam
18.4,1,1,1,2,1,2,3,spam
18.4,1,1,1,2,1,2,3,spam
2.271,1,1,2,1,2,1,2,spam
1.54,1,1,2,1,2,1,1,spam
3.29,2,1,2,1,2,1,2,spam
2.884,1,1,1,1,1,1,3,spam
4.906,1,1,1,1,2,1,1,spam
8.636,1,1,1,2,1,1,2,spam
6.77,2,2,2,2,2,2,3,spam
14.88,2,2,2,1,1,2,1,spam
8.55,2,2,1,1,2,2,3,spam
2.815,1,1,1,2,2,1,3,spam
2,1,1,1,2,1,2,3,spam
6.1,2,1,1,1,2,1,2,spam
5.787,1,2,2,2,1,2,3,spam
1.494,2,1,2,2,2,2,1,spam
1.494,2,1,2,2,2,2,1,spam
7.561,2,2,1,2,2,2,3,spam
8.461,1,1,1,2,2,1,3,spam
3.111,1,2,1,1,1,2,3,spam
1.49,1,1,1,1,2,1,1,spam
2.472,2,1,2,1,2,1,3,spam
2.466,2,1,1,2,1,1,3,spam
3.5,2,1,1,2,2,2,1,spam
16.304,2,1,1,1,2,1,3,spam
3.186,2,1,2,1,2,2,3,spam
2.638,1,2,1,2,2,2,3,spam
10.625,2,1,1,2,1,2,3,spam
4.881,1,1,1,1,2,1,1,spam
1.67,2,1,1,1,2,2,1,spam
1.766,2,2,1,1,2,2,1,spam
2.813,1,1,1,1,1,1,1,spam
3.166,1,1,2,2,1,2,3,spam
15.547,2,1,2,1,1,1,3,spam
3.166,2,1,2,1,2,2,3,spam
13.936,2,2,1,2,1,2,1,spam
4.818,1,1,2,1,1,2,1,spam
5.019,1,2,1,2,1,1,2,spam
2.08,2,1,2,2,2,1,2,spam
1.777,2,1,1,1,1,1,3,spam
9.411,2,1,1,2,1,2,2,spam
2.826,1,1,1,2,2,1,2,spam
4.928,2,1,2,1,2,1,3,spam
4.153,1,1,1,2,1,1,3,spam
2.121,2,1,2,1,2,1,3,spam
2.909,1,1,1,2,2,1,3,spam
16.782,2,1,1,1,2,1,3,spam
16.826,2,1,1,1,2,1,3,spam
2.042,2,2,2,2,2,1,2,spam
15.16,2,1,1,1,2,1,3,spam
2.293,2,1,1,2,2,1,2,spam
2.264,1,1,2,1,2,1,2,spam
3.412,2,1,1,1,2,2,2,spam
1.515,2,1,2,2,2,2,1,spam
1.838,2,2,1,1,2,2,1,spam
5.166,2,2,1,1,2,2,3,spam
3.166,1,1,2,2,1,2,3,spam
9.5,1,1,1,1,1,1,2,spam
1.2,2,1,1,1,1,1,1,spam
4.16,2,2,1,1,2,1,1,spam
4.16,2,2,1,1,2,1,1,spam
2.17,2,1,2,2,2,2,3,spam
4.892,2,1,2,2,2,1,2,spam
7.857,2,1,1,1,2,1,1,spam
3,1,1,1,1,1,1,2,spam
1.846,2,1,1,1,2,2,3,spam
7,2,1,2,1,2,1,2,spam
4.08,2,2,1,2,2,2,3,spam
1.823,1,1,1,1,1,2,3,spam
5.323,2,2,1,2,2,2,3,spam
2.944,1,2,1,2,1,2,3,spam
2.95,1,1,1,2,2,1,2,spam
1.375,1,1,1,1,1,1,3,spam
25.22,2,1,2,2,2,1,1,spam
2.041,1,1,2,2,1,2,2,spam
3.341,2,1,2,2,2,2,2,spam
2.03,1,1,2,2,1,2,2,spam
3.338,2,1,2,2,2,2,2,spam
1.745,1,1,2,2,2,2,1,spam
3.338,2,1,2,2,2,2,2,spam
1.752,1,1,2,2,2,2,1,spam
5.681,1,2,2,2,2,2,3,spam
2.103,1,2,1,1,1,1,1,spam
3,1,1,1,1,1,1,3,spam
2.336,1,2,2,2,2,2,1,spam
3.076,2,2,2,1,1,2,2,spam
5.114,1,1,2,1,2,1,3,spam
5.114,1,1,2,1,2,1,3,spam
4.892,2,1,2,2,2,1,2,spam
5,1,1,1,1,1,1,3,spam
1.53,1,1,2,1,2,2,3,spam
7.541,1,2,1,1,2,2,2,spam
4.07,2,2,1,1,2,1,1,spam
5.549,2,1,2,2,2,1,2,spam
6.05,2,2,2,1,1,2,2,spam
3.921,2,1,2,2,2,2,2,spam
4.07,2,2,1,1,2,1,1,spam
1.763,1,1,1,1,1,2,3,spam
18.37,2,1,1,2,1,1,1,spam
58.705,1,2,1,2,2,2,3,spam
4.307,1,1,1,1,1,1,3,spam
5.8,1,1,1,1,2,2,3,spam
3.333,1,2,1,1,1,2,2,spam
12.692,1,1,1,2,2,1,3,spam
1.764,2,1,1,1,2,1,2,spam
4.727,2,1,2,1,1,2,1,spam
1.903,2,1,1,1,2,2,3,spam
3.37,2,1,1,1,2,2,3,spam
4.722,1,1,2,1,1,1,1,spam
1.612,1,2,1,2,1,1,2,spam
5.558,2,2,1,2,2,2,3,spam
3.166,1,1,2,2,1,2,3,spam
4.761,2,1,1,2,2,2,3,spam
62.5,1,2,1,2,2,2,3,spam
2.89,1,1,2,1,2,1,2,spam
6.045,2,2,2,2,1,2,2,spam
1.379,2,1,1,2,1,1,3,spam
1.379,2,1,1,2,1,1,3,spam
8.207,1,1,1,1,1,2,2,spam
4.941,1,1,1,1,1,2,1,spam
2.878,1,1,2,1,2,1,2,spam
50.166,2,1,1,1,2,1,2,spam
3.975,2,1,2,1,2,2,3,spam
4.869,1,1,2,2,2,2,3,spam
3.384,1,1,1,1,1,1,3,spam
72,2,1,1,1,1,2,2,spam
2.131,2,1,1,1,1,1,1,spam
4.071,1,1,1,1,1,1,3,spam
5.76,1,1,2,1,2,2,2,spam
1.372,1,1,1,1,2,1,3,spam
5.187,1,2,1,1,2,2,3,spam
1.372,1,1,1,1,2,1,3,spam
2.276,1,2,2,2,2,2,1,spam
6.685,2,1,1,1,2,1,1,spam
3.384,1,1,1,1,1,1,3,spam
7.18,1,1,1,2,2,1,1,spam
7.18,1,1,1,2,2,1,1,spam
2.857,1,1,1,2,1,1,3,spam
8.55,2,2,1,1,2,2,3,spam
71.5,2,1,1,1,1,2,2,spam
5.105,2,1,1,2,2,2,3,spam
2,1,1,1,1,2,1,1,spam
3.125,1,1,1,2,1,1,3,spam
6.094,2,2,2,2,1,2,2,spam
8.411,1,1,1,2,1,1,3,spam
5.769,1,1,2,2,1,2,2,spam
7,2,2,1,1,1,2,1,spam
1.373,1,1,1,1,2,1,3,spam
3.281,1,1,2,1,1,1,3,spam
5.173,1,2,1,1,2,2,3,spam
5.2,1,2,1,1,2,2,3,spam
5.349,2,2,2,2,1,2,2,spam
1.966,1,1,1,1,1,1,3,spam
2.755,1,1,2,1,2,1,1,spam
2.755,1,1,2,1,2,1,1,spam
2.755,1,1,2,1,2,1,1,spam
1.607,1,1,1,2,1,1,1,spam
5.132,1,2,2,2,2,2,2,spam
13.166,1,1,1,1,2,1,1,spam
3.509,1,2,2,2,2,2,1,spam
4.875,2,1,1,2,2,2,3,spam
1.392,1,1,1,1,2,1,3,spam
2.96,1,1,1,1,1,2,2,spam
1.512,1,1,1,2,1,1,1,spam
4.32,2,1,2,1,2,2,3,spam
5.551,1,1,1,1,1,2,3,spam
2.47,1,1,1,2,1,1,1,spam
1.597,2,1,1,2,2,1,1,spam
4.02,1,2,1,1,1,2,3,spam
4.02,1,2,1,1,1,2,3,spam
4.058,2,1,1,2,2,2,2,spam
1.251,2,1,1,1,1,2,1,spam
3.976,2,1,1,2,1,1,2,spam
1.8,2,1,1,1,2,1,1,spam
4.176,1,1,1,2,2,1,1,spam
4.59,2,1,1,2,2,2,3,spam
7.781,2,1,2,1,2,2,3,spam
10.375,2,1,2,1,2,2,3,spam
7.781,2,1,2,1,2,2,3,spam
7.651,2,2,1,2,2,2,3,spam
4.225,1,1,2,2,2,2,2,spam
3.029,1,1,2,2,2,1,3,spam
2.04,1,1,1,2,2,2,3,spam
2.184,1,1,1,2,2,1,3,spam
1.136,2,1,1,2,2,1,2,spam
3.552,2,1,1,1,2,1,3,spam
8.781,2,1,2,1,2,2,3,spam
2.448,1,2,1,1,2,2,3,spam
1.693,1,1,1,2,1,1,3,spam
24.333,2,1,1,2,2,1,3,spam
8.55,2,2,1,1,2,2,3,spam
2.742,1,1,2,2,2,2,2,spam
3.062,2,2,1,2,2,2,3,spam
1.796,2,2,1,1,2,2,1,spam
2.973,1,1,2,2,2,2,2,spam
1.909,1,1,1,1,1,1,3,spam
2.878,1,1,2,1,2,1,2,spam
2.878,1,1,2,1,2,1,2,spam
14.301,1,2,2,1,1,2,3,spam
2.141,1,1,1,2,2,1,1,spam
1.796,2,2,1,1,2,2,1,spam
2.923,1,1,1,1,2,1,1,spam
3.5,1,2,2,2,1,2,3,spam
7.941,1,1,1,1,2,1,3,spam
2.088,1,1,1,2,2,1,3,spam
5.3,2,1,1,2,2,1,3,spam
5.977,1,1,1,1,1,2,1,spam
8.375,1,2,1,2,2,1,3,spam
4.49,2,1,1,2,2,1,2,spam
4.555,2,1,1,1,2,1,2,spam
5.25,1,1,1,2,2,1,1,spam
1.684,1,1,1,1,1,2,3,spam
3.115,2,1,1,2,2,1,2,spam
3.115,2,1,1,2,2,1,2,spam
3.176,2,1,2,1,2,2,3,spam
1.869,2,1,1,2,1,1,3,spam
6.896,2,1,2,1,2,2,2,spam
3.897,1,2,1,2,2,2,2,spam
2.818,2,1,2,1,1,1,3,spam
1.559,2,1,1,2,1,1,1,spam
4.18,1,1,2,1,1,1,2,spam
6.761,1,2,2,1,1,2,2,spam
6.789,1,2,2,1,1,2,2,spam
4.047,1,1,1,1,1,2,1,spam
4.904,2,1,2,1,1,2,2,spam
1.956,1,1,1,1,2,1,2,spam
3.426,1,2,2,1,2,2,1,spam
3.857,1,1,1,1,1,2,2,spam
6.978,2,1,2,2,2,1,2,spam
4.5,1,1,1,1,1,1,1,spam
5.683,1,1,1,2,2,1,3,spam
3.725,1,1,1,1,2,1,3,spam
6.125,2,1,1,2,2,1,2,spam
4.333,1,1,2,1,1,1,1,spam
2.777,1,1,2,1,1,1,3,spam
2.777,1,1,2,1,1,1,3,spam
4.333,1,1,2,1,1,1,1,spam
2.777,1,1,2,1,1,1,3,spam
2.104,2,2,1,1,2,1,1,spam
1.608,2,2,1,2,1,2,3,spam
3.488,2,2,1,1,2,2,3,spam
3,1,1,1,2,1,1,3,spam
6.693,1,1,1,1,2,1,2,spam
2.678,1,1,1,1,1,1,3,spam
3.689,1,2,1,1,2,1,2,spam
3.705,1,2,2,2,2,2,2,spam
3.857,1,1,1,1,1,2,2,spam
5.955,2,1,2,1,2,1,3,spam
4.192,1,2,1,1,2,1,1,spam
5.038,1,2,1,1,2,2,1,spam
3.414,1,2,1,1,2,2,2,spam
20.432,1,1,1,2,1,1,2,spam
6.758,2,2,2,2,2,2,2,spam
7.192,1,2,2,2,2,2,2,spam
3.613,1,1,1,1,2,2,3,spam
6.758,2,2,2,2,2,2,2,spam
1.416,1,1,1,1,1,1,1,spam
6.918,2,2,2,2,2,2,2,spam
3.558,1,1,1,2,2,1,3,spam
4.333,1,1,1,2,1,1,2,spam
7.24,2,2,1,2,2,2,3,spam
7.277,2,2,1,2,2,2,3,spam
2.05,2,2,1,1,2,2,2,spam
3.485,1,1,1,2,2,2,3,spam
6.813,2,2,2,2,2,2,2,spam
3.95,1,2,1,1,1,2,2,spam
12.2,2,1,1,1,2,1,1,spam
5.833,1,1,2,2,2,2,3,spam
1.117,1,1,1,2,1,1,2,spam
7.121,2,1,1,2,2,1,1,spam
8.777,2,1,2,1,2,2,2,spam
3.23,1,2,1,1,1,1,1,spam
3.106,2,1,1,2,2,2,3,spam
1.076,1,1,1,1,2,1,2,spam
2.446,2,2,1,1,2,1,2,spam
5.632,2,2,2,2,2,2,2,spam
7.549,1,1,1,1,2,2,1,spam
2.2,1,1,1,2,1,1,3,spam
1.666,1,1,1,1,1,1,3,spam
3.075,1,1,2,1,1,1,1,spam
3.656,1,2,2,2,2,2,2,spam
2.329,1,1,1,2,2,1,3,spam
2.368,2,1,1,1,2,1,2,spam
2.228,1,1,1,2,2,1,3,spam
2.351,1,1,1,2,2,1,1,spam
2.825,1,1,1,2,2,1,2,spam
2.41,2,2,1,1,2,2,3,spam
1.379,1,1,1,1,2,1,1,spam
2.315,1,1,1,2,1,1,3,spam
2.444,1,1,1,1,1,2,1,spam
1.89,2,1,1,2,2,1,1,spam
3.417,1,2,2,1,1,2,3,spam
2.302,2,1,2,2,1,1,1,spam
3.702,1,1,1,1,2,1,2,spam
2.441,2,2,1,1,2,2,3,spam
1.666,1,1,1,1,2,1,3,spam
3.545,1,1,1,1,1,2,1,spam
2.125,2,1,1,2,1,1,3,spam
3.809,1,1,1,1,1,2,2,spam
1.394,1,1,1,1,2,1,2,spam
8.55,2,2,1,1,2,2,3,spam
9.29,1,1,1,1,1,2,3,spam
5.037,1,1,1,1,1,2,3,spam
2.455,2,2,1,1,2,2,3,spam
3.904,1,1,1,1,1,2,1,spam
7.484,2,2,1,2,2,2,3,spam
5.75,1,1,1,2,1,1,2,spam
2.17,1,1,2,2,2,1,2,spam
5.648,1,2,2,1,1,2,3,spam
3.584,1,1,1,1,2,2,3,spam
5.792,1,1,1,1,2,2,3,spam
2.132,1,1,1,2,2,1,1,spam
3.025,2,1,1,2,2,1,3,spam
1.612,1,1,1,1,1,2,3,spam
3.681,1,1,2,1,1,2,1,spam
3.761,1,1,1,1,1,2,3,spam
3.217,2,1,2,1,2,2,2,spam
9.633,2,1,1,2,1,2,2,spam
3.702,1,2,2,2,2,2,3,spam
1.859,1,1,2,1,1,2,2,spam
3.318,2,1,2,1,2,2,2,spam
193.5,2,1,1,2,2,1,1,spam
3.052,2,1,1,2,2,1,3,spam
1.711,1,2,1,1,2,2,1,spam
3.548,1,2,2,2,2,2,2,spam
4.923,2,2,2,2,2,2,2,spam
2.297,1,1,1,1,1,2,3,spam
4.295,2,1,2,1,2,2,3,spam
6.686,1,2,2,2,2,2,3,spam
2.083,2,1,1,2,2,1,1,spam
3.28,1,1,1,2,2,1,3,spam
4,2,1,1,1,1,1,2,spam
2.614,1,1,1,2,1,1,2,spam
3,1,1,1,2,1,1,3,spam
1.166,1,2,2,2,1,1,2,spam
2.437,2,1,1,1,2,1,2,spam
9.785,1,1,1,2,1,1,3,spam
1,1,1,1,1,2,1,3,spam
3.533,2,2,2,2,2,2,3,spam
3.454,1,1,1,2,1,1,3,spam
5.328,2,1,2,1,1,2,3,spam
9.039,1,1,2,2,2,1,2,spam
2.257,1,2,2,1,2,2,1,spam
13.928,1,2,1,1,1,1,3,spam
8.323,2,2,2,1,2,2,3,spam
4.45,2,2,1,2,2,1,3,spam
2.95,1,1,1,2,1,2,2,spam
1.333,1,1,1,2,1,1,2,spam
3.554,2,1,2,2,2,2,2,spam
3.519,2,1,2,2,2,1,2,spam
1.428,1,1,2,1,1,1,3,spam
5.009,1,1,1,1,2,1,1,spam
2.934,1,1,2,2,1,2,3,spam
1.725,1,2,1,1,2,2,1,spam
4.23,1,1,2,1,1,2,1,spam
2.383,1,1,1,2,1,1,1,spam
2.133,2,1,2,2,2,1,1,spam
3.875,1,1,1,1,1,2,1,spam
1.477,1,1,1,2,1,1,2,spam
3.343,1,1,1,2,1,2,2,spam
89.9,1,1,1,1,2,1,2,spam
3.322,1,2,1,2,2,2,3,spam
8.083,2,1,1,1,2,2,3,spam
6.027,2,2,1,2,2,2,3,spam
3.875,1,2,1,2,1,2,3,spam
2,1,1,1,2,1,2,3,spam
3.389,1,1,2,2,2,1,1,spam
1.682,1,1,1,1,1,1,1,spam
6.529,2,1,1,1,2,2,3,spam
3.521,2,2,1,1,1,1,2,spam
3.39,2,1,1,1,1,1,1,spam
16.304,2,1,1,1,2,1,3,spam
2.638,1,2,1,2,2,2,3,spam
3.851,1,1,1,1,2,1,1,spam
7.82,1,1,1,1,1,1,3,spam
3.85,2,1,1,1,2,1,1,spam
3.694,2,2,1,1,2,2,2,spam
5.5,1,1,1,2,2,1,1,spam
4.6,1,1,1,1,1,2,3,spam
6.298,1,1,2,1,2,2,3,spam
6.266,1,1,1,2,1,2,2,spam
1.545,1,1,1,1,1,1,1,spam
4.125,1,1,1,1,1,2,3,spam
3.401,1,1,2,2,2,2,3,spam
32,1,1,1,1,1,1,3,spam
4.047,1,1,1,1,1,1,3,spam
20,1,1,1,2,1,1,3,spam
6.269,2,2,2,2,2,1,2,spam
16.826,2,1,1,1,2,1,3,spam
4.541,2,1,1,1,2,2,1,spam
2.625,2,1,1,2,1,1,2,spam
3.75,1,2,1,1,1,2,1,spam
3.812,1,1,1,1,1,2,3,spam
5.101,2,1,2,2,2,1,3,spam
2.3,2,1,1,1,1,1,2,spam
3.697,1,2,2,2,1,2,3,spam
3.5,1,1,1,1,1,1,1,spam
2.283,1,2,1,2,2,2,3,spam
1.263,1,1,1,1,1,1,1,spam
5.454,2,2,1,2,2,2,3,spam
15.5,2,1,1,2,1,1,3,spam
1.863,2,1,2,1,1,1,1,spam
1.517,2,1,2,2,2,1,3,spam
10.817,2,2,1,2,1,2,2,spam
5.782,2,1,2,2,1,2,3,spam
3.807,1,1,1,1,2,1,2,spam
2.428,1,1,2,2,2,2,3,spam
1.428,1,1,1,2,1,1,1,spam
3.937,1,1,1,1,1,2,1,spam
15.916,2,1,1,2,1,1,3,spam
5.549,2,1,2,2,2,1,2,spam
1.419,2,1,1,1,2,1,1,spam
4,1,1,1,1,1,1,1,spam
3.015,2,2,1,2,2,2,1,spam
1.333,1,1,1,2,2,1,2,spam
4.947,2,1,1,2,1,1,3,spam
9,1,1,1,1,1,1,3,spam
5.335,1,2,2,2,2,2,3,spam
82.25,1,2,2,2,2,2,3,spam
6.091,1,1,1,2,2,1,2,spam
4.159,2,1,1,1,2,1,3,spam
6.091,1,1,1,2,2,1,2,spam
14.619,1,2,2,1,1,2,3,spam
3.521,1,1,1,1,2,1,2,spam
2.736,1,1,2,1,2,1,1,spam
2.35,1,1,1,2,2,1,1,spam
2.23,1,1,1,2,1,1,3,spam
6.722,1,1,1,2,1,1,3,spam
3.015,2,2,1,2,2,2,1,spam
1.866,1,1,1,1,1,2,1,spam
4.333,1,1,1,2,1,1,2,spam
2.162,1,2,2,2,1,2,1,spam
10.366,1,1,1,1,1,1,2,spam
2.016,1,2,2,2,1,2,3,spam
1.4,2,1,1,1,2,1,2,spam
14.619,1,2,2,1,1,2,3,spam
4.833,1,2,1,2,1,1,3,spam
3.225,2,2,2,2,2,2,2,spam
7.178,1,1,1,2,1,1,3,spam
13.017,2,1,1,1,2,2,1,spam
3.575,1,1,2,1,2,2,2,spam
2.322,1,1,2,1,2,1,2,spam
2.329,1,1,2,1,2,1,2,spam
4.792,2,1,1,2,2,1,1,spam
14.619,1,2,2,1,1,2,3,spam
3.305,2,1,2,2,2,2,2,spam
4.512,1,1,2,2,1,2,2,spam
14.406,1,2,2,1,1,2,3,spam
2.926,1,2,1,2,1,2,2,spam
2.26,2,1,1,2,2,2,1,spam
14.619,1,2,2,1,1,2,3,spam
6.602,1,2,2,2,2,2,3,spam
6.602,1,2,2,2,2,2,3,spam
2.13,1,1,1,1,2,1,1,spam
2.47,1,1,1,1,2,1,1,spam
1.69,1,1,2,2,1,1,2,spam
14.619,1,2,2,1,1,2,3,spam
4.319,1,1,2,2,2,1,3,spam
2.5,1,1,1,1,1,1,1,spam
11.592,1,1,2,2,2,2,3,spam
13.884,1,1,1,2,1,1,2,spam
3.697,1,2,2,2,1,2,3,spam
1.194,2,1,2,2,2,1,2,spam
1.428,1,1,2,2,1,1,3,spam
5.083,1,1,1,1,1,2,3,spam
4.818,1,1,1,2,2,1,1,spam
9.785,1,1,1,2,1,1,3,spam
3.286,2,1,2,1,2,2,3,spam
2.417,1,1,1,1,2,1,1,spam
2.337,1,1,1,1,2,1,1,spam
8.5,1,1,1,1,1,2,1,spam
3.591,2,1,1,2,2,1,3,spam
1.558,1,1,1,1,2,1,1,spam
9.1,1,1,2,2,2,2,3,spam
7.887,2,1,1,1,2,2,1,spam
2.391,1,1,1,1,1,1,1,spam
2.955,1,2,1,1,2,2,2,spam
1.209,1,2,2,2,1,1,2,spam
3.626,2,1,1,1,1,1,1,spam
3.629,1,1,2,1,2,2,2,spam
3.607,2,1,1,2,2,2,3,spam
2.222,1,1,1,1,1,1,1,spam
4.152,1,2,2,1,1,2,3,spam
2.106,1,1,2,1,1,1,1,spam
5.759,2,2,2,2,1,2,3,spam
2.807,1,1,1,2,2,1,1,spam
3.631,1,1,2,2,1,2,3,spam
2.257,1,2,2,1,2,2,1,spam
4.786,1,1,1,1,1,1,1,spam
2.861,1,1,1,2,1,1,3,spam
7.092,1,1,2,2,2,2,3,spam
2.847,2,1,1,1,2,2,2,spam
1.377,1,1,2,2,2,1,3,spam
5.108,2,2,2,2,1,2,3,spam
2.611,1,1,1,2,1,2,2,spam
1.518,1,1,1,2,1,1,1,spam
4.163,1,2,2,1,1,2,3,spam
4.444,1,2,2,2,1,2,3,spam
1.6,1,1,1,2,1,1,2,spam
13.235,1,2,2,2,2,2,3,spam
3.56,2,1,2,2,2,2,2,spam
3.554,2,1,2,2,2,2,2,spam
19.26,1,2,2,2,2,1,3,spam
2.044,1,1,1,1,1,1,1,spam
1.874,1,1,1,2,2,1,3,spam
2.417,1,1,1,1,1,1,1,spam
8.192,1,2,2,2,2,2,3,spam
3.5,1,1,1,1,1,1,1,spam
1.941,2,1,1,1,1,1,1,spam
3.535,1,1,2,1,1,1,3,spam
1,1,1,1,1,1,1,1,spam
4.194,1,2,2,1,2,2,3,spam
8.192,1,2,2,2,2,2,3,spam
4.333,1,1,1,1,1,1,1,spam
9.444,1,1,1,1,2,1,1,spam
4.333,1,1,1,2,1,1,1,spam
3.598,2,1,2,2,2,2,2,spam
2.269,1,1,1,1,1,1,1,spam
1.987,1,1,1,1,1,1,1,spam
1.841,1,1,1,2,2,1,1,spam
6.047,1,1,1,1,2,2,3,spam
4.689,2,2,2,1,1,2,2,spam
2.823,1,1,1,1,1,1,1,spam
4.945,2,2,2,1,2,2,3,spam
2.652,1,1,1,1,1,1,1,spam
3.138,2,1,2,2,2,2,3,spam
2.465,1,1,1,1,1,1,1,spam
2.802,1,1,1,1,1,1,1,spam
2.666,1,1,1,1,1,1,1,spam
6.588,2,1,1,1,2,2,1,spam
10.159,1,1,2,1,1,2,1,spam
6.482,2,2,2,2,2,2,3,spam
2.875,2,1,1,1,2,1,3,spam
4.333,1,1,1,1,1,1,3,spam
3.199,2,1,2,1,2,2,3,spam
1.377,1,1,2,2,2,1,3,spam
4.555,1,1,1,2,1,1,3,spam
7.709,2,2,1,1,1,1,3,spam
5.538,1,1,1,2,1,1,3,spam
3.294,2,1,1,1,2,1,1,spam
11.312,2,1,1,2,1,1,3,spam
1.461,1,1,1,1,2,1,3,spam
2.512,2,2,1,2,2,1,3,spam
1.55,1,1,1,1,1,1,1,spam
4.906,1,1,1,1,1,1,2,spam
31.388,2,1,1,1,2,2,3,spam
6.652,2,1,2,2,2,2,3,spam
10.372,1,1,2,1,1,2,1,spam
11.242,2,2,1,1,2,2,2,spam
2.021,2,1,2,2,1,2,2,spam
1,1,1,1,1,1,1,1,spam
9.56,1,1,2,2,1,2,2,spam
6,1,1,1,1,2,2,3,spam
2.111,2,1,1,1,2,1,2,spam
2.166,2,1,1,2,1,1,2,spam
6.544,2,2,2,2,2,2,2,spam
25.964,2,2,2,1,2,2,3,spam
8.445,2,2,2,1,2,2,3,spam
1.304,1,1,1,1,1,1,1,spam
2.09,1,1,1,2,2,1,3,spam
3.697,1,2,2,2,1,2,3,spam
1.348,2,1,1,1,2,1,3,spam
8.086,1,1,1,2,2,1,1,spam
6.5,2,1,1,2,2,2,2,spam
53.433,2,1,2,1,2,1,2,spam
4.09,2,2,2,2,1,2,3,spam
2.531,1,1,1,1,1,1,1,spam
3.621,1,1,1,1,2,1,3,spam
21.428,1,1,1,1,1,1,1,spam
8.55,2,2,1,1,2,2,3,spam
2.717,2,2,2,1,1,1,1,spam
3,2,2,1,2,1,2,3,spam
8.312,2,1,2,1,2,2,3,spam
7.166,2,1,2,2,2,2,3,spam
3.761,1,1,1,1,1,2,2,spam
1.8,1,1,1,1,1,2,3,spam
2.516,1,1,1,2,1,1,3,spam
1.447,2,1,1,2,2,2,3,spam
2.47,1,1,1,2,1,1,1,spam
5.279,2,2,1,2,2,2,1,spam
3.685,2,1,2,2,2,1,3,spam
1.04,1,1,1,1,1,1,2,emai
1,1,1,1,1,1,1,1,emai
1.625,1,1,1,1,1,1,2,emai
4.411,1,1,1,1,1,1,1,emai
2.5,1,1,1,1,2,1,1,emai
1,1,1,1,1,1,1,1,emai
2.285,1,1,1,1,1,1,3,emai
10.012,1,1,1,1,1,1,2,emai
2.766,1,1,1,1,2,1,1,emai
2,1,1,1,1,1,1,1,emai
1.8,1,1,1,1,2,1,1,emai
3.388,1,1,1,1,1,1,2,emai
1.75,1,1,1,1,2,1,1,emai
1.444,1,1,1,2,1,1,2,emai
1.932,1,1,1,1,1,1,2,emai
2.647,1,1,1,1,1,1,1,emai
1.142,1,1,1,1,1,1,1,emai
1,1,1,1,1,1,1,3,emai
2.322,1,1,1,1,1,1,1,emai
1.538,1,1,1,1,2,1,1,emai
1.745,1,1,1,1,1,1,1,emai
2.51,1,1,1,1,1,1,1,emai
2.747,2,1,1,1,2,1,1,emai
1.538,1,1,1,1,1,1,1,emai
2.813,1,1,1,1,2,1,2,emai
2,1,1,1,1,1,1,3,emai
1,1,1,1,1,1,1,2,emai
2.847,1,1,1,1,2,1,1,emai
1.837,1,1,1,1,1,1,1,emai
1.942,1,1,1,1,1,1,2,emai
1,1,1,1,1,1,1,3,emai
2.195,1,1,1,1,1,1,1,emai
1.235,1,1,1,1,1,1,1,emai
3.407,1,1,1,1,2,1,1,emai
2.326,1,1,1,1,2,1,1,emai
2.838,1,1,1,1,2,1,1,emai
